,Section,Speaker,Text,Timestamp,Hearing
0,Section_0,Adam Schiff,"Without objection, the chair is authorized to declare a recess so the committee, at any time, there is a quorum present.",00:00,Taylor/Kent
1,Section_1,Adam Schiff,"Here’s how the committee will proceed for this hearing. I will make an opening statement, and then ranking member Nunes will have the opportunity to make a statement. And we will go to witness statements and then to questions.",00:07,Taylor/Kent
2,Section_1,Adam Schiff,"For audience members, we welcome you and we respect your interest in being here. In turn, we ask for your respect as we proceed with today’s hearing.",00:19,Taylor/Kent
3,Section_1,John Ratcliffe,Mr. Chairman.,00:27,Taylor/Kent
4,Section_1,Adam Schiff,It is the intention of the committee to proceed without disruptions.,00:28,Taylor/Kent
5,Section_1,John Ratcliffe,Mr. Chairman.,00:30,Taylor/Kent
6,Section_1,Adam Schiff,What purpose?,00:32,Taylor/Kent
7,Section_1,John Ratcliffe,May I make a parliamentary inquiry?,00:32,Taylor/Kent
8,Section_1,Adam Schiff,Gentleman will state the inquiry.,00:34,Taylor/Kent
9,Section_1,John Ratcliffe,"Mr. Chairman, this is our first hearing under these new set of rules. House Resolution 660 gives you the discretion to allow yourself and the ranking member periods of extended questions of up to 45 minutes each before other members are allowed to ask questions. If possible, we’d like to know the rules of engagement before we get started. Have you made a decision yet as to how many 45 minute rounds you will allow yourself and the ranking member?",00:36,Taylor/Kent
10,Section_1,Adam Schiff,"I have not. As we informed the minority yesterday, we will see how the first period goes and how much material we are able to get through. At that point, the chair will announce the period, if there is a period of the second round, which may be up to 45 minutes. Or we’ll go straight to a five minute questions by members.",01:07,Taylor/Kent
11,Section_1,Adam Schiff,"For audience members, again, we welcome you and your interest. In turn, we expect and will insist on decorum in the committee. As chairman, I’ll take all necessary and appropriate steps to maintain order and ensure the committee is run in accordance with House rules and House Resolution 660.",01:26,Taylor/Kent
12,Section_1,Adam Schiff,"With that, I now recognize myself to give an opening statement in the impeachment inquiry into Donald J. Trump, the 45th president of the United States.",01:45,Taylor/Kent
13,Section_1,Adam Schiff,"In 2014, Russia invaded the United States ally, Ukraine, to reverse that nation’s embrace of the West and to fulfill Vladimir Putin’s desire to rebuild a Russian empire. In the following years, 14,000 Ukrainians died as they battled superior Russian forces.",01:54,Taylor/Kent
14,Section_1,Adam Schiff,"Earlier this year, Volodymyr Zelensky was elected president of Ukraine on a platform of ending the conflict and tackling corruption. He was a newcomer to politics and immediately sought to establish a relationship with Ukraine’s most powerful patron, the United States.",02:18,Taylor/Kent
15,Section_1,Adam Schiff,"The questions presented by this impeachment inquiry are whether president Trump sought to exploit that ally’s vulnerability and invite Ukraine’s interference in our elections. Whether President Trump sought conditioned official acts, such as a White House meeting or US military assistance on Ukraine’s willingness to assist with two political investigations that would help his reelection campaign. And if President Trump did either, whether such an abuse of his power is compatible with the office of the presidency.",02:35,Taylor/Kent
16,Section_1,Adam Schiff,"The matter is as simple and as terrible as that. Our answer to these questions will affect not only the future of this presidency, but the future of the presidency itself, and what kind of conduct or misconduct the American people may come to expect from their Commander in Chief.",03:09,Taylor/Kent
17,Section_1,Adam Schiff,"There are a few actions as consequential as the impeachment of a president. While the Founders did not intend that impeachment be employed for mere differences over policy, they also made impeachment a constitutional process that the Congress must utilize as necessary.",03:28,Taylor/Kent
18,Section_1,Adam Schiff,"The facts in the present inquiry are not seriously contested. Beginning in January of this year, the president’s personal attorney, Rudy Giuliani, pressed Ukrainian authorities to investigate Burisma, the country’s largest national gas producer, and the Bidens, since Vice President Joe Biden was seen as a strong potential challenger to Trump.",03:46,Taylor/Kent
19,Section_1,Adam Schiff,"Giuliani also promoted a debunked conspiracy that it was Ukraine, not Russia, that hacked the 2016 US election. The nation’s intelligence agencies have stated unequivocally that it was Russia, not Ukraine, that interfered in our election. But Giuliani believed this conspiracy theory referred to as Crowdstrike, shorthand for the company that discovered the Russian hack, would aid his client’s reelection.",04:08,Taylor/Kent
20,Section_1,Adam Schiff,"Giuliani also conducted a smear campaign against the US ambassador to Ukraine, Marie Yovanovitch. On April 29, a senior state department official told her that although she had done nothing wrong, President Trump had lost confidence in her. With the sidelining of Yovanovitch, the stage was set for the establishment of an irregular channel in which Giuliani and later others. Including Gordon Sondland, an influential donor to the President’s inauguration, now serving as ambassador to the European Union could advance the President’s personal and political interests.",04:34,Taylor/Kent
21,Section_1,Adam Schiff,"Yovanovitch’s replacement in Kiev, Ambassador Bill Taylor, is a West Point graduate and a Vietnam veteran. As he began to better understand the scheme through the summer of 2019, he pushed back, informing Deputy Assistant Secretary Kent and others about a plan to condition US government actions and funding on the performance of political favors by the Ukrainian government. Favors intended for President Trump that would undermine our security and our elections.",05:08,Taylor/Kent
22,Section_1,Adam Schiff,"Several key events in this scheme took place in the month of July. On July 10th, Ambassador Sondland informed a group of US and Ukrainian officials meeting at the White House that according to you, Chief of Staff Mick Mulvaney, a White House meeting desperately sought by the Ukrainian president with Trump would happened if Ukraine undertook an investigation into the energy sector, which was understood to mean Burisma and specifically, the Bidens. National Security Advisor Bolton abruptly ended the meeting and said afterwards that he would not be quote, “Part of whatever drug deal Sondland and Mulvaney are cooking up on this,” end quote.",05:39,Taylor/Kent
23,Section_1,Adam Schiff,"A week later on July 18th, representative of the Office of Management and Budget, the White House agency that oversees federal spending, announced on a video conference that Mulvaney, at the direction of the President, was freezing nearly $400 million in security assistance authorized and appropriated by Congress, in which the entirety of the US national security establishment supported. One week after that, Donald Trump would have the now infamous July 25th phone call with Ukrainian president, Zelensky.",06:20,Taylor/Kent
24,Section_1,Adam Schiff,"During that call, Trump complained that the US relationship with Ukraine had not been reciprocal. Later, Zelensky thanks Trump for his support in the area of defense and says that Ukraine is ready to purchase more Javelins, an anti-tank weapon that was among the most important deterrence of further Russian military action. Trump’s immediate response, “I would like you to do us a favor though.” Trump then requested that Zelensky investigate the discredited 2016 Crowdstrike conspiracy theory and even more ominously, look into the Bidens.",06:53,Taylor/Kent
25,Section_1,Adam Schiff,"Neither of these investigations was in the US national interest. And neither was part of the official preparatory material for the call. Both however, were in Donald Trump’s personal interest and in the interests of his 2020 reelection campaign. And the Ukrainian president knew about both in advance because Sondland and others had been pressing Ukraine for weeks about investigations into the 2016 election, Burisma, and the Bidens.",07:31,Taylor/Kent
26,Section_1,Adam Schiff,"After the call, multiple individuals were concerned enough to report it to the National Security Council’s top lawyer. The White House would then take the extraordinary step of moving the call record to a highly classified server, exclusively reserved for the most sensitive intelligence matters.",08:03,Taylor/Kent
27,Section_1,Adam Schiff,"In the weeks that followed, Ambassador Taylor learned new facts about a scheme that Sondland, even Sondland would describe as becoming more insidious. Taylor texted Sondland quote, “Are we now saying that security assistance and White House meeting are conditioned on investigations?”",08:24,Taylor/Kent
28,Section_1,Adam Schiff,"As summer turned to fall, “it kept getting more insidious,” Mr. Sondland testified. Mr. Taylor, who took notes of his conversations, said the ambassador told him in a September 1st phone call that everything was dependent on the public announcement of investigations including security assistance. President Trump wanted Mr. Zelensky in a public box.",08:43,Taylor/Kent
29,Section_1,Adam Schiff,"“President Trump is a businessman,” Sondland said later. “When a businessman is about to sign a check to someone who owes him something, the businessman asks that person to pay up before signing the check.”",09:10,Taylor/Kent
